[2026-04-13 10:58:53 UTC] xrun -Q -unbuffered '-timescale' '1ns/1ns' '-sysv' '-access' '+rw' design.sv testbench.sv  
TOOL:	xrun	25.03-s001: Started on Apr 13, 2026 at 06:58:54 EDT
xrun: 25.03-s001: (c) Copyright 1995-2025 Cadence Design Systems, Inc.
	Top level design units:
		tb_mos2_model
Loading snapshot worklib.tb_mos2_model:sv .................... Done
xcelium> source /xcelium25.03/tools/xcelium/files/xmsimrc
xcelium> run
=================================================
 SIMULATION 1: TRANSFER CHARACTERISTICS (Ids vs Vgs)
=================================================

--- Device: L = 500 nm ---
Vgs(V)      Ids_Vds=0.1V(A)     Ids_Vds=0.5V(A)    Ids_Vds=1.0V(A)
  1.950       8.281012e-03       1.144134e-02       1.521201e-02
  2.000       8.279650e-03       1.144321e-02       1.522629e-02
  2.050       8.278322e-03       1.144468e-02       1.523886e-02
  2.100       8.277037e-03       1.144582e-02       1.524994e-02
  2.150       8.275802e-03       1.144669e-02       1.525971e-02
  2.200       8.274621e-03       1.144733e-02       1.526835e-02
  2.250       8.273498e-03       1.144780e-02       1.527598e-02
  2.300       8.272432e-03       1.144811e-02       1.528274e-02
  2.350       8.271425e-03       1.144831e-02       1.528873e-02
  2.400       8.270477e-03       1.144841e-02       1.529404e-02
  2.450       8.269587e-03       1.144844e-02       1.529877e-02
  2.500       8.268752e-03       1.144841e-02       1.530298e-02

--- Device: L = 60 nm ---
Vds(V)      Ids_Vgs=0.1V(A)     Ids_Vgs=0.5V(A)    Ids_Vgs=1.0V(A)
--------    ----------------   ----------------   ----------------
  0.000       1.000000e-20       1.000000e-20       1.000000e-20
  0.050       8.247820e-04       9.123002e-04       9.913026e-04
  0.100       1.537482e-03       1.717303e-03       1.883187e-03
  0.150       2.152063e-03       2.425960e-03       2.683686e-03
  0.200       2.682860e-03       3.050141e-03       3.402058e-03
  0.250       3.142735e-03       3.600920e-03       4.047292e-03
  0.300       3.542763e-03       4.088168e-03       4.627682e-03
  0.350       3.892315e-03       4.520503e-03       5.150702e-03
  0.400       4.199242e-03       4.905372e-03       5.623005e-03
  0.450       4.470104e-03       5.249170e-03       6.050467e-03
  0.500       4.710368e-03       5.557374e-03       6.438255e-03
  0.550       4.924597e-03       5.834671e-03       6.790904e-03
  0.600       5.116598e-03       6.085069e-03       7.112390e-03
  0.650       5.289562e-03       6.312002e-03       7.406192e-03
  0.700       5.446163e-03       6.518413e-03       7.675364e-03
  0.750       5.588652e-03       6.706829e-03       7.922580e-03
  0.800       5.718928e-03       6.879426e-03       8.150189e-03
  0.850       5.838597e-03       7.038079e-03       8.360256e-03
  0.900       5.949026e-03       7.184410e-03       8.554598e-03
  0.950       6.051375e-03       7.319822e-03       8.734816e-03
  1.000       6.146637e-03       7.445534e-03       8.902325e-03
  1.050       6.235662e-03       7.562608e-03       9.058374e-03
  1.100       6.319182e-03       7.671969e-03       9.204071e-03
  1.150       6.397828e-03       7.774426e-03       9.340398e-03
  1.200       6.472142e-03       7.870689e-03       9.468230e-03
  1.250       6.542599e-03       7.961379e-03       9.588344e-03
  1.300       6.609608e-03       8.047047e-03       9.701434e-03
  1.350       6.673528e-03       8.128175e-03       9.808118e-03
  1.400       6.734672e-03       8.205192e-03       9.908953e-03
  1.450       6.793313e-03       8.278476e-03       1.000443e-02
  1.500       6.849692e-03       8.348364e-03       1.009501e-02
  1.550       6.904022e-03       8.415157e-03       1.018108e-02
  1.600       6.956490e-03       8.479120e-03       1.026300e-02
  1.650       7.007260e-03       8.540492e-03       1.034111e-02
  1.700       7.056481e-03       8.599487e-03       1.041570e-02
  1.750       7.104282e-03       8.656296e-03       1.048703e-02
  1.800       7.150780e-03       8.711091e-03       1.055534e-02
  1.850       7.196078e-03       8.764026e-03       1.062087e-02
  1.900       7.240268e-03       8.815242e-03       1.068379e-02
  1.950       7.283434e-03       8.864863e-03       1.074430e-02
  2.000       7.325649e-03       8.913003e-03       1.080256e-02
  2.050       7.366982e-03       8.959765e-03       1.085873e-02
  2.100       7.407491e-03       9.005244e-03       1.091293e-02
  2.150       7.447231e-03       9.049522e-03       1.096530e-02
  2.200       7.486251e-03       9.092679e-03       1.101596e-02
  2.250       7.524596e-03       9.134784e-03       1.106500e-02
  2.300       7.562304e-03       9.175900e-03       1.111252e-02
  2.350       7.599414e-03       9.216088e-03       1.115862e-02
  2.400       7.635958e-03       9.255399e-03       1.120338e-02
  2.450       7.671966e-03       9.293884e-03       1.124687e-02
  2.500       7.707465e-03       9.331587e-03       1.128916e-02

[DONE] Simulation complete.
Simulation complete via $finish(1) at time 0 FS + 0
./testbench.sv:234     $finish;
xcelium> exit
TOOL:	xrun	25.03-s001: Exiting on Apr 13, 2026 at 06:58:55 EDT  (total: 00:00:01)
